"station","date","max"
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-27,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-28,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-29,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-30,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-31,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-01,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-02,96
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-03,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-04,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-05,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-06,75
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-07,69
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-08,73
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-09,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-10,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-11,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-12,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-13,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-14,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-15,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-16,72
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-17,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-18,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-19,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-20,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-21,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-22,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-23,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-24,82
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-25,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-26,86
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-27,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-28,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-29,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-09-30,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-01,65
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-02,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-03,75
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-04,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-05,83
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-06,81
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-07,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-08,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-09,72
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-10,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-11,65
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-12,73
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-13,74
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-14,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-15,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-16,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-17,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-18,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-19,67
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-20,59
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-21,63
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-22,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-23,70
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-24,73
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-25,76
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-26,77
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-27,79
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-28,74
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-29,59
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-30,61
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-10-31,65
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-01,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-02,68
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-03,71
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-04,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-05,61
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-06,66
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-07,72
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-08,72
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-09,71
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-10,59
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-11,58
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-12,64
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-13,72
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-14,78
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-15,76
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-16,75
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-17,57
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-18,54
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-19,63
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-11-20,69
